;name;indicators
0;Год постройки;2015
1;Год ввода дома в эксплуатацию;2015
2;Серия, тип постройки здания;Иной
3;Тип дома;Многоквартирный дом
4;Способ формирования фонда капитального ремонта;Не определен
5;Дом признан аварийным;Нет
6;Количество этажей:;3
7;Количество лифтов, ед.;14
8;Общие сведения о земельном участке, на котором расположен многоквартирный дом:;B
9;Элементы благоустройства:;Не заполнено
10;наибольшее, ед.;35
11;наименьшее, ед.;28
12;жилых, ед.;496
13;нежилых, ед.;11
14;общая площадь жилых помещений, кв.м;34 275.60
15;общая площадь нежилых помещений, кв.м;2 442.70
16;общая площадь помещений, входящих в состав общего имущества, кв.м;21 173.30
17;площадь земельного участка, входящего в состав общего имущества в многоквартирном доме, кв.м;Не заполнено
18;площадь парковки в границах земельного участка, кв.м;Не заполнено
19;детская площадка;Имеется
20;спортивная площадка;Имеется
21;другое;Не заполнено
22;Тип фундамента;                Иной            
23;Тип перекрытий;                 Железобетонные            
24;Материал несущих стен;                 Монолитные            
25;Площадь подвала по полу, кв.м;                2 091.00            
26;Тип мусоропровода;                На лестничной клетке            
27;Количество мусоропроводов, ед.;                6            
28;Тип системы электроснабжения;               Центральное            
29;Количество вводов в дом, ед.;               17            
30;Тип системы теплоснабжения;               Центральное            
31;Тип системы горячего водоснабжения;               Центральное (закрытая система)            
32;Тип системы холодного водоснабжения;               Центральное            
33;Тип системы водоотведения;               Центральное            
34;Объем выгребных ям, куб. м.;               0.00            
35;Тип системы газоснабжения;               Отсутствует            
36;Тип системы вентиляции;               Вытяжная вентиляция            
37;Тип системы пожаротушения;               Пожарные гидранты            
38;Тип системы водостоков;               Внутренние водостоки            
